0	Generic	NotDef	.notdef
333	Proportional	Cyrillic	uni042A
334	Proportional	Cyrillic	uni042B
335	Proportional	Cyrillic	uni042C
336	Proportional	Cyrillic	uni042D
337	Proportional	Cyrillic	uni042E
338	Proportional	Cyrillic	uni042F
339	Proportional	Cyrillic	uni0430
340	Proportional	Cyrillic	uni0431
341	Proportional	Cyrillic	uni0432
342	Proportional	Cyrillic	uni0433
343	Proportional	Cyrillic	uni0434
344	Proportional	Cyrillic	uni0435
345	Proportional	Cyrillic	uni0436
346	Proportional	Cyrillic	uni0437
347	Proportional	Cyrillic	uni0438
348	Proportional	Cyrillic	uni0439
349	Proportional	Cyrillic	uni043A
350	Proportional	Cyrillic	uni043B
351	Proportional	Cyrillic	uni043C
352	Proportional	Cyrillic	uni043D
353	Proportional	Cyrillic	uni043E
354	Proportional	Cyrillic	uni043F
355	Proportional	Cyrillic	uni0440
356	Proportional	Cyrillic	uni0441
357	Proportional	Cyrillic	uni0442
358	Proportional	Cyrillic	uni0443
359	Proportional	Cyrillic	uni0444
360	Proportional	Cyrillic	uni0445
361	Proportional	Cyrillic	uni0446
362	Proportional	Cyrillic	uni0447
363	Proportional	Cyrillic	uni0448
364	Proportional	Cyrillic	uni0449
365	Proportional	Cyrillic	uni044A
366	Proportional	Cyrillic	uni044B
367	Proportional	Cyrillic	uni044C
368	Proportional	Cyrillic	uni044D
369	Proportional	Cyrillic	uni044E
370	Proportional	Cyrillic	uni044F
371	Proportional	Cyrillic	uni0451
372	Proportional	Latin	uni1E3E
373	Proportional	Latin	uni1E3F
374	Proportional	Latin	uni1EA0
375	Proportional	Latin	uni1EA1
376	Proportional	Latin	uni1EA2
377	Proportional	Latin	uni1EA3
378	Proportional	Latin	uni1EA4
379	Proportional	Latin	uni1EA5
380	Proportional	Latin	uni1EA6
381	Proportional	Latin	uni1EA7
382	Proportional	Latin	uni1EA8
383	Proportional	Latin	uni1EA9
384	Proportional	Latin	uni1EAA
385	Proportional	Latin	uni1EAB
386	Proportional	Latin	uni1EAC
387	Proportional	Latin	uni1EAD
388	Proportional	Latin	uni1EAE
389	Proportional	Latin	uni1EAF
390	Proportional	Latin	uni1EB0
391	Proportional	Latin	uni1EB1
392	Proportional	Latin	uni1EB2
393	Proportional	Latin	uni1EB3
394	Proportional	Latin	uni1EB4
395	Proportional	Latin	uni1EB5
396	Proportional	Latin	uni1EB6
397	Proportional	Latin	uni1EB7
398	Proportional	Latin	uni1EB8
399	Proportional	Latin	uni1EB9
400	Proportional	Latin	uni1EBA
401	Proportional	Latin	uni1EBB
402	Proportional	Latin	uni1EBC
403	Proportional	Latin	uni1EBD
404	Proportional	Latin	uni1EBE
405	Proportional	Latin	uni1EBF
406	Proportional	Latin	uni1EC0
407	Proportional	Latin	uni1EC1
408	Proportional	Latin	uni1EC2
409	Proportional	Latin	uni1EC3
410	Proportional	Latin	uni1EC4
411	Proportional	Latin	uni1EC5
412	Proportional	Latin	uni1EC6
413	Proportional	Latin	uni1EC7
414	Proportional	Latin	uni1EC8
415	Proportional	Latin	uni1EC9
416	Proportional	Latin	uni1ECA
417	Proportional	Latin	uni1ECB
418	Proportional	Latin	uni1ECC
419	Proportional	Latin	uni1ECD
420	Proportional	Latin	uni1ECE
421	Proportional	Latin	uni1ECF
422	Proportional	Latin	uni1ED0
423	Proportional	Latin	uni1ED1
424	Proportional	Latin	uni1ED2
425	Proportional	Latin	uni1ED3
426	Proportional	Latin	uni1ED4
427	Proportional	Latin	uni1ED5
428	Proportional	Latin	uni1ED6
429	Proportional	Latin	uni1ED7
430	Proportional	Latin	uni1ED8
431	Proportional	Latin	uni1ED9
432	Proportional	Latin	uni1EDA
433	Proportional	Latin	uni1EDB
434	Proportional	Latin	uni1EDC
435	Proportional	Latin	uni1EDD
436	Proportional	Latin	uni1EDE
437	Proportional	Latin	uni1EDF
438	Proportional	Latin	uni1EE0
439	Proportional	Latin	uni1EE1
440	Proportional	Latin	uni1EE2
441	Proportional	Latin	uni1EE3
442	Proportional	Latin	uni1EE4
443	Proportional	Latin	uni1EE5
444	Proportional	Latin	uni1EE6
445	Proportional	Latin	uni1EE7
446	Proportional	Latin	uni1EE8
447	Proportional	Latin	uni1EE9
448	Proportional	Latin	uni1EEA
449	Proportional	Latin	uni1EEB
450	Proportional	Latin	uni1EEC
451	Proportional	Latin	uni1EED
452	Proportional	Latin	uni1EEE
453	Proportional	Latin	uni1EEF
454	Proportional	Latin	uni1EF0
455	Proportional	Latin	uni1EF1
456	Proportional	Latin	uni1EF2
457	Proportional	Latin	uni1EF3
458	Proportional	Latin	uni1EF4
459	Proportional	Latin	uni1EF5
460	Proportional	Latin	uni1EF6
461	Proportional	Latin	uni1EF7
